KO	EC	Pathway	Brite	KO_Name
K15317			ko01008	APTA; asperthecin polyketide synthase
K15316	2.3.1.221	ko00254	ko01008	PKSA; noranthrone synthase
K01596	4.1.1.32	ko04964;ko04910;ko04152;ko04151;ko03320;ko04922;ko04920;ko00020;ko04931;ko00620;ko00010;ko04068		E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP)
K01597	4.1.1.33	ko00900		MVD, mvaD; diphosphomevalonate decarboxylase
K01595	4.1.1.31	ko00720;ko00680;ko00620;ko00710		ppc; phosphoenolpyruvate carboxylase
K01592	4.1.1.25	ko00950;ko00350		TYDC; tyrosine decarboxylase
K01593	4.1.1.28;4.1.1.105	ko00950;ko05031;ko05030;ko00901;ko00965;ko00360;ko05034;ko04728;ko04361;ko04726;ko00350;ko00380	ko04147	DDC, TDC; aromatic-L-amino-acid/L-tryptophan decarboxylase
K01590	4.1.1.22	ko00340		hdc, HDC; histidine decarboxylase
K01591	4.1.1.23	ko00240		pyrF; orotidine-5'-phosphate decarboxylase
K01598	4.1.1.36	ko00770		PPCDC, coaC; phosphopantothenoylcysteine decarboxylase
K01599	4.1.1.37	ko00860		hemE, UROD; uroporphyrinogen decarboxylase
K09365			ko03000	POU3F, OTF; POU domain transcription factor, class 3
K09364		ko05417;ko05168	ko03000;ko03021	POU2F, OTF; POU domain transcription factor, class 2
K09367		ko04550	ko03000;ko03021	POU5F; POU domain transcription factor, class 5
K09366			ko03000	POU4F, BRN3; POU domain transcription factor, class 4
K09361			ko03000	BARX; BarH-like homeobox
K09360			ko03000	BARHL; BarH-like
K09363		ko04935	ko03000	POU1F, PIT1; POU domain transcription factor, class 1
K09362			ko03000	K09362; homeo domain only family, other
K09368			ko03000	POU6F; POU domain transcription factor, class 6
K03990		ko04936;ko05152;ko05150;ko04145;ko05134;ko05140;ko05133;ko05131;ko04080;ko05167;ko05171;ko05142;ko05322;ko04613;ko04610;ko05168;ko05203	ko04131;ko04147;ko01002	C3; complement component 3
K03991		ko05150;ko04145;ko05171;ko04610	ko04131;ko04091	MBL; mannose-binding lectin
K03992	3.4.21.-	ko05150;ko05171;ko04610	ko01002	MASP1; mannan-binding lectin serine protease 1
K03993	3.4.21.104	ko05150;ko05171;ko04610	ko01002	MASP2; mannan-binding lectin serine protease 2
K03994		ko05020;ko04936;ko05150;ko05322;ko05133;ko04810;ko04080;ko05171;ko04610;ko05168;ko04613	ko01002	C5; complement component 5
K05419		ko04060;ko04668;ko04630;ko04550	ko04052	LIF; leukemia inhibitory factor
K03996		ko05020;ko05322;ko05171;ko04610;ko04810		C7; complement component 7
K03997		ko05020;ko05322;ko05146;ko04810;ko05171;ko04610		C8A; complement component 8 subunit alpha
K03998		ko05020;ko05322;ko05146;ko04810;ko05171;ko04610		C8B; complement component 8 subunit beta
K03999		ko05020;ko05322;ko05146;ko04810;ko05171;ko04610		C8G; complement component 8 subunit gamma
K01620	4.1.2.48	ko00260		ltaE; threonine aldolase
K01621	4.1.2.9;4.1.2.22	ko00030;ko00710		xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
K01622	3.1.3.11;4.1.2.13	ko00030;ko00010;ko00680;ko00051		K01622; fructose 1,6-bisphosphate aldolase/phosphatase
K01623	4.1.2.13	ko00680;ko00030;ko04066;ko00051;ko00010;ko00710	ko04147;ko03036;ko04131	ALDO; fructose-bisphosphate aldolase, class I
K01624	4.1.2.13	ko00030;ko00010;ko00680;ko00710;ko00051		FBA, fbaA; fructose-bisphosphate aldolase, class II
K01625	4.1.2.14;4.1.3.42	ko00030;ko00630		eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase
K01626	2.5.1.54	ko00400;ko02024		E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase
K01627	2.5.1.55	ko00540	ko01005	kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)
K01628	4.1.2.17	ko00040;ko00051		fucA; L-fuculose-phosphate aldolase
K01629	4.1.2.19	ko00040;ko00051		rhaD; rhamnulose-1-phosphate aldolase
K14046	4.2.3.35	ko00904		KSL4, DTS2; syn-pimara-7,15-diene synthase
K14047	4.2.3.43	ko00904		PADC4; fusicocca-2,10(14)-diene synthase
K14044	4.2.3.33	ko00904		KSL8, DTC2; stemar-13-ene synthase
K14045	4.2.3.34	ko00904		KSL11; stemod-13(17)-ene synthase
K14042	4.2.3.44;5.5.1.12	ko00904		TPS-ISO; isopimara-7,15-diene synthase /copalyl diphosphate synthase
K14043	5.5.1.14	ko00904		CPS4; syn-copalyl-diphosphate synthase
K14040	1.14.14.145	ko00904	ko00199	CYP720B, PTAO; abieta-7,13-dien-18-ol hydroxylase
K14041	4.2.3.32;5.5.1.12	ko00904		TPS-LAS, LPS; levopimaradiene/copalyl diphosphate synthase
K14048	3.5.1.5	ko00220;ko00791;ko00230;ko05120		ureAB; urease subunit gamma/beta
K03668				hslJ; heat shock protein HslJ
K03669	2.4.1.-		ko01003	mdoH; membrane glycosyltransferase
K03662		ko05120;ko05110;ko05323;ko04145;ko05152;ko04142;ko05165;ko05161;ko00190		ATPeVS1, ATP6S1; V-type H+-transporting ATPase S1 subunit
K03663	2.4.1.152	ko00603;ko00601;ko00515	ko01003	FUT9; 4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase
K03660	4.2.99.18;3.2.2.-	ko03410	ko03400	OGG1; N-glycosylase/DNA lyase
K03661		ko05120;ko05110;ko05323;ko04145;ko05152;ko04142;ko05165;ko04721;ko00190		ATPeV0B, ATP6F; V-type H+-transporting ATPase 21kDa proteolipid subunit
K03666		ko02024;ko03018;ko05111	ko03036;ko03019	hfq; host factor-I protein
K03667			ko03110	hslU; ATP-dependent HslUV protease ATP-binding subunit HslU
K03664				smpB; SsrA-binding protein
K03665			ko03009	hflX; GTPase
K06012	3.4.24.78		ko01002	gpr; spore protease
K06013	3.4.24.84	ko00900	ko01002;ko04147	STE24; STE24 endopeptidase
K06011	3.4.24.69		ko01002;ko02042	boNT; botulinum neurotoxin
K06016	3.5.1.87;3.5.1.6	ko00240		pydC; beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase
K06015	3.5.1.81			E3.5.1.81; N-acyl-D-amino-acid deacylase
K06018	3.6.1.10			PPN1; endopolyphosphatase
K06019	3.6.1.1	ko00190		ppaX; pyrophosphatase PpaX
K21493	3.1.-.-		ko02048	yxiD; toxin YxiD
K11105			ko02000	cvrA, nhaP2; potassium/hydrogen antiporter
K00754	2.4.1.-			bshA; L-malate glycosyltransferase
K24054			ko04990	GOPC; golgi-associated PDZ and coiled-coil motif-containing protein
K06900	3.1.1.-;3.1.1.32	ko00592;ko00564		capV; cGAMP-activated phospholipase
K06901			ko02000	pbuG, azgA, ghxP, ghxQ, adeQ; adenine/guanine/hypoxanthine permease
K06902		ko04138	ko02000;ko04131	UMF1; MFS transporter, UMF1 family
K06903				K06903; uncharacterized protein
K06904				K06904; uncharacterized protein
K06905				K06905; uncharacterized protein
K06906				K06906; uncharacterized protein
K06907				K06907; uncharacterized protein
K06908				K06908; uncharacterized protein
K06909				xtmB; phage terminase large subunit
K02244			ko02044	comGB; competence protein ComGB
K24050		ko04391;ko04390		DLG5; discs large protein 5
K24359			ko04990	MFRP; membrane frizzled-related protein
K24358		ko04974	ko04990	COL26A, EMID2; collagen type XXVI alpha (EMI domain-containing protein 2)
K24355		ko04974	ko00536	COL23A; collagen type XXIII alpha
K24354			ko00536	SMOC; SPARC-related modular calcium-binding protein
K24357		ko04974		COL20A; collagen type XX alpha
K24356		ko04974	ko00536	COL25A; collagen type XXV alpha
K24351		ko04141		UBXN8; UBX domain-containing protein 8
K24350			ko04121	UBXN7; UBX domain-containing protein 7
K24353			ko04131	UBXN11; UBX domain-containing protein 11
K24352			ko03037	UBXN10; UBX domain-containing protein 10
K24687			ko04990	ZFAND5_6; AN1-type zinc finger protein 5/6
K24686			ko04990	ZFAND3; AN1-type zinc finger protein 3
K24685			ko04990	ZFAND2; AN1-type zinc finger protein 2
K24684			ko04990	ZFAND1; AN1-type zinc finger protein 1
K24683			ko04990	DISP3, PTCHD2; protein dispatched 3
K24682			ko04990	PTCHD; patched domain-containing protein
K24681			ko04990	DISP2; protein dispatched 2
K24680		ko04340;ko04341	ko04990	DISP1; protein dispatched 1
K24689		ko00785		lipS2; lipoyl synthase
K24688			ko03036;ko03400	ZCWPW1; zinc finger CW-type PWWP domain protein 1
K23936		ko05132		sopD2; secreted effector protein SopD2
K00508	1.14.19.3	ko00591	ko01004	E1.14.19.3; linoleoyl-CoA desaturase
K00509	1.14.99.1	ko04923;ko04726;ko00590;ko04611		PTGS1, COX1; prostaglandin-endoperoxide synthase 1
K00502	1.14.16.4	ko04726;ko00790;ko00380;ko04361		TPH1_2; tryptophan 5-monooxygenase
K00503	1.14.17.1	ko00350		DBH; dopamine beta-monooxygenase
K00500	1.14.16.1	ko00360;ko00400;ko00790		phhA, PAH; phenylalanine-4-hydroxylase
K00501	1.14.16.2	ko05012;ko05031;ko05030;ko04917;ko00790;ko00950;ko04728;ko05034;ko00350		TH; tyrosine 3-monooxygenase
K00506	1.14.18.-	ko00350;ko04916	ko04147	TYRP1; tyrosinase-related protein 1
K00507	1.14.19.1	ko04152;ko01040;ko03320;ko04936;ko04212	ko01004	SCD, desC; stearoyl-CoA desaturase (Delta-9 desaturase)
K00504	1.14.17.3			PHM; peptidylglycine monooxygenase
K00505	1.14.18.1	ko00950;ko00350;ko04916		TYR; tyrosinase
K11614	2.7.13.3	ko02020	ko01001;ko02022	yufL, malK; two-component system, CitB family, sensor histidine kinase MalK
K16647	2.4.2.47	ko00571;ko00572	ko01003	aftC; arabinofuranan 3-O-arabinosyltransferase
K16644			ko00536	actA; actin-assembly inducing protein
K19869				NME9, TXNDC6; thioredoxin domain-containing protein 6
K19868			ko03037	NME8, TXNDC3; thioredoxin domain-containing protein 3
K19863		ko04940		ICA1; islet cell auto antigen 1
K19862		ko04360;ko04012;ko04660;ko05130;ko04361		NCK2, GRB4; NCK adaptor protein 2
K19861	2.3.1.196;2.3.1.232			BEBT, AMAT; benzyl alcohol O-benzoyltransferase
K19860		ko04011	ko04031	GPA1; guanine nucleotide-binding protein alpha-1 subunit
K19867			ko04990	PDLIM5_6_7; PDZ and LIM domain protein 5/6/7
K19866			ko04990;ko04147	EFEMP2; EGF-containing fibulin-like extracellular matrix protein 2
K19865			ko03037;ko03036	PKHD1; fibrocystin
K11611	1.3.1.118		ko01004	inhA; meromycolic acid enoyl-[acyl-carrier-protein] reductase
K26267			ko03036	SAP30BP; SAP30-binding protein
K26266			ko03036	SAMD1; sterile alpha motif domain-containing protein 1
K25088			ko02000	musG; maltose transport system permease protein
K25089			ko02000	musI; membrane protein
K26263	2.7.7.48		ko03200	S2; Dinovernavirus RNA-directed RNA polymerase VP2
K26262	2.7.7.48		ko03200	VP1; Orbivirus RNA-directed RNA polymerase
K26261	2.7.7.48		ko03200	S1; Seadornavirus RNA-directed RNA polymerase VP1
K26260			ko03036	LCOR; ligand-dependent corepressor
K25082			ko04990	RBM46; RNA-binding protein 46
K25083			ko04990	RBM47; RNA-binding protein 47
K25080			ko04990	RBM44; RNA-binding protein 44
K25081			ko04990	RBM45; RNA-binding protein 45
K25086			ko02000	musE; maltose transport system substrate-binding protein
K25087			ko02000	musF; maltose transport system permease protein
K26269			ko03036	SFMBT; scm-like with four MBT domains protein
K25085			ko00537	PSPA; prespore-specific protein A
K25554			ko03037	CFAP58; cilia- and flagella-associated protein 58
K25555	2.7.7.-			dncV; cyclic GMP-AMP synthase
K25556				GUCA2; guanylate cyclase activator 2
K25557				HHIPL; HHIP-like protein
K25550			ko03037	MYCBP; c-Myc-binding protein
K25551			ko03037	CFAP45; cilia- and flagella-associated protein 45
K25552			ko03037	CFAP47; cilia- and flagella-associated protein 47
K25553			ko03037	CFAP54; cilia- and flagella-associated protein 54
K25558				HHLA1; HERV-H LTR-associating protein 1
K25559				IGFL; insulin growth factor-like family member
K26191			ko03100	s-rRNA; mitochondrial 12S ribosomal RNA
K26190			ko03029	ARMCX6; armadillo repeat-containing X-linked protein 6
K26193			ko03100	rrnS; mitochondrial 18S/15S ribosomal RNA
K26192			ko03100	l-rRNA; mitochondrial 16S ribosomal RNA
K26195			ko03100	rrn16; chloroplast 16S ribosomal RNA
K26194			ko03100	rrnL; mitochondrial 26S/21S ribosomal RNA
K26197			ko03037	GPRASP2; G-protein coupled receptor-associated sorting protein 2
K26196			ko03100	rrn23; chloroplast 23S ribosomal RNA
K26199			ko03037;ko03036	BCORL1; BCL-6 corepressor-like protein 1
K26198			ko03037	ARMCX4; armadillo repeat-containing X-linked protein 4
K20698		ko04624	ko01002	NEC; necrotic
K20699		ko04624		IMD; immune deficiency
K20694		ko04624		SPZ; protein spaetzle
K20695		ko04624		IM1_2_3; immune-induced peptide 1/2/3
K20696		ko04624		CEC; cecropin
K20697		ko04624		GNBP1; gram-negative bacteria-binding protein 1
K20690			ko04131	ARHGEF25; Rho guanine nucleotide exchange factor 25
K20691			ko04131	ARHGEF19, WGEF; Rho guanine nucleotide exchange factor 19
K20692		ko04624		GNBP3; gram-negative bacteria-binding protein 3
K20693	3.4.21.-	ko04624		SPHINX; sphinx
K04027				eutM; ethanolamine utilization protein EutM
K20248	2.3.1.184	ko02024;ko00270		cinI; acyl homoserine lactone synthase
K04026				eutL; ethanolamine utilization protein EutL
K18770	3.4.16.4;2.4.1.129	ko00550	ko01003;ko01011	pbpD; penicillin-binding protein 4
K18772	3.5.4.-			APOBEC2; C->U-editing enzyme APOBEC2
K18773	3.5.4.-			APOBEC4; C->U-editing enzyme APOBEC4
K19801	2.7.1.67	ko04070;ko00562		PI4KB; phosphatidylinositol 4-kinase B
K18774				PNRC1; proline-rich nuclear receptor coactivator 1
K20246	1.21.3.10;2.1.1.44	ko00340		EGT1; L-histidine Nalpha-methyltransferase / hercynylcysteine S-oxide synthase
K22025	1.1.1.410			denD; D-erythronate 2-dehydrogenase
K17182			ko03100;ko04147	MIR186; microRNA 186
K22027	1.14.13.235			iacA; indole-3-acetate monooxygenase
K22026	2.7.1.-;2.7.1.213;2.7.1.73	ko00240;ko00230		K22026; nucleoside kinase
K22021			ko04131	MUC20; mucin-20
K18776	2.1.1.296		ko03019	MTR2, MT48; cap2 methyltransferase
K22023			ko04131	MUC6; mucin-6
K12351	3.1.4.12	ko04071;ko00600		SMPD2; sphingomyelin phosphodiesterase 2
K18777	2.1.1.-		ko03019	MTR3, MT57; cap3/cap4 methyltransferase
K22029			ko04812	PALLD; palladin
K22028			ko04812	MYPN; myopalladin
K17181			ko03100;ko04147	MIR301; microRNA 301
K12354	3.1.4.12	ko00600		ENPP7; ectonucleotide pyrophosphatase/phosphodiesterase family member 7
K17187			ko03100;ko04147	MIR452; microRNA 452
K17184			ko03100;ko04147	MIR185; microRNA 185
K12357	3.2.1.18	ko00511;ko00600		NEU2_3_4; sialidase-2/3/4
K12277			ko02044	mshF; MSHA biogenesis protein MshF
K12276		ko05111	ko02044	mshE; MSHA biogenesis protein MshE
K12275		ko04141;ko03060	ko02044	SEC62; translocation protein SEC62
K12274			ko02044	SEC72; translocation protein SEC72
K12273			ko02044	SEC66; translocation protein SEC66
K12272		ko03060	ko02044;ko04031	SRPRB, SRP102; signal recognition particle receptor subunit beta
K12271			ko02044	SRP43, CAO; signal recognition particle 43 kDa protein
K12270			ko02044	asp3; accessory secretory protein Asp3
K12279			ko02044	mshI; MSHA biogenesis protein MshI
K12278			ko02044	mshG; MSHA biogenesis protein MshG
K16196	2.7.11.1	ko04140;ko04141;ko05160;ko05162;ko05168;ko04138	ko01001	EIF2AK4; eukaryotic translation initiation factor 2-alpha kinase 4
K16197		ko04151;ko04110;ko05161;ko04013;ko04114;ko04212;ko05160;ko04391;ko04390;ko05203	ko03400;ko04147	YWHAB_Q_Z; 14-3-3 protein beta/theta/zeta
K16194	2.7.11.1	ko05168;ko05162;ko04141;ko05160	ko01001	EIF2AK1; eukaryotic translation initiation factor 2-alpha kinase 1
K16195	2.7.11.1	ko05010;ko04141;ko05165;ko05164;ko05167;ko05171;ko05160;ko05162;ko04217;ko05169;ko05168;ko05203	ko01009;ko03019;ko01001	EIF2AK2; eukaryotic translation initiation factor 2-alpha kinase 2
K16192				K16192, arfB; uncharacterized membrane protein ArfB
K16193				arfC; uncharacterized membrane protein ArfC
K16190	2.7.1.43	ko00040;ko00520;ko00053		GLCAK; glucuronokinase
K16191			ko02000	K16191, arfA; peptidoglycan-binding protein ArfA
K16198		ko04151;ko04110;ko05160;ko04114;ko04390;ko05203	ko04147;ko01009;ko03400	YWHAG_H; 14-3-3 protein gamma/eta
K16199		ko02010	ko02000	dppE; dipeptide transport system substrate-binding protein
K23642			ko01002	PI3, WFDC14; elafin
K23643		ko04711		LSM12; protein LSM12
K23640			ko01002	WFDC6; WAP four-disulfide core domain protein 6
K23641			ko01002	WFDC12; WAP four-disulfide core domain protein 12
K23646	6.3.2.-	ko00997		DTPA; ditryptophenaline biosynthesis nonribosomal peptide synthase
K23647	2.1.1.-	ko00997		DTPB; ditryptophenaline biosynthesis N-methyltransferase
K23644		ko04711		TYF; twenty-four
K23645			ko04131	BAIAP2L2; BAI1-associated protein 2-like protein 2
K23648		ko05130		espJ; T3SS secreted effector ADP-ribosyltransferase EspJ
K23649		ko05132;ko05130		ABI1; abl interactor 1
K16399		ko01052	ko01008	epoF; epothilone polyketide synthase F
K17573			ko01009	LKAP, MARF1; meiosis arrest female protein 1
K17572			ko01009	ARFGEF3, KEPI; brefeldin A-inhibited guanine nucleotide-exchange protein 3
K17571			ko01009	PPP1R32; protein phosphatase 1 regulatory subunit 32
K17570			ko03037;ko01009	HYDIN; hydrocephalus-inducing protein
K17577			ko04990;ko01009	SH2D4A; SH2 domain-containing protein 4A
K17576			ko01009	PPP1R37, LRRC68; protein phosphatase 1 regulatory subunit 37
K17575			ko01009	PPP1R36; protein phosphatase 1 regulatory subunit 36
K17574			ko01009	PPP1R35; protein phosphatase 1 regulatory subunit 35
K17579			ko01009;ko04812	PPP1R42, LRRC67; protein phosphatase 1 regulatory subunit 42
K17578			ko01009	ZCCHC9; zinc finger CCHC domain-containing protein 9
K16220			ko03019	HAX1; HCLS1-associated protein X-1
K16221		ko04712	ko03000	TCP21, CHE; transcription factor TCP21 (protein CCA1 HIKING EXPEDITION)
K16222		ko04712		CDF1; Dof zinc finger protein DOF5.5
K16223		ko04712		FT; protein FLOWERING LOCUS T
K16224		ko04016;ko04626	ko01001	FRK1; senescence-induced receptor-like serine/threonine-protein kinase
K16225		ko04626		WRKY52, RRS1; probable WRKY transcription factor 52
K16226		ko04626		RPS4; disease resistance protein RPS4
K16227				gplH; glycopeptidolipid biosynthesis protein
K16228				mps1; glycopeptidolipid biosynthesis protein
K16229				mps2; glycopeptidolipid biosynthesis protein
K19089			ko02048	cas5a_b_c; CRISPR-associated protein Cas5a/b/c
K19088			ko02048	cst1, cas8a; CRISPR-associated protein Cst1
K16391		ko01052	ko01008	pimS0; pimaricinolide synthase, loading module
K19085			ko02048	csa1; CRISPR-associated protein Csa1
K19084		ko02010;ko02020	ko02000	braE, bceB; bacitracin transport system permease protein
K19087			ko02048	csa5; CRISPR-associated protein Csa5
K19086			ko02048	csa4, cas8a2; CRISPR-associated protein Csa4
K19081	2.7.13.3	ko02020	ko01001;ko02022	braS, bceS; two-component system, OmpR family, sensor histidine kinase BraS/BceS
K19080		ko02010;ko05150;ko01503;ko02020	ko02000;ko01504	vraG; cationic antimicrobial peptide transport system permease protein
K19083		ko02010;ko02020	ko02000	braD, bceA; bacitracin transport system ATP-binding protein
K19082		ko02020	ko02022	braR, bceR; two-component system, OmpR family, response regulator protein BraR/BceR
K16395		ko01052	ko01008	epoB; epothilone synthetase B
K16397		ko01052	ko01008	epoD; epothilone polyketide synthase D
K18487		ko04550	ko03000	ZIC3; zinc finger protein ZIC 3
K18680	2.7.11.1	ko04111	ko01001	CDR1; mitosis inducer protein kinase Cdr1
K18681	3.1.13.-	ko03018	ko03019	DIS3L; DIS3-like exonuclease 1
K18682	3.1.-.-	ko03018	ko03019	rny; ribonucrease Y
K18683				rus; rusticyanin
K18684	5.4.4.7;4.2.1.152	ko00590		ALOXE3; hydroperoxy icosatetraenoate dehydratase/isomerase
K18685	4.2.3.145			ACOS; ophiobolin F synthase
K18686	4.2.3.146	ko00997		cotB2; cyclooctat-9-en-7-ol synthase
K18687	6.2.1.41	ko00984		fadD3; HIP---CoA ligase
K18688	6.2.1.42			fadD19; 3-oxocholest-4-en-26-oate---CoA ligase
K18689	2.7.1.185	ko00900		E2.7.1.185; mevalonate-3-kinase
K10109		ko02010	ko02000	malF; maltose/maltodextrin transport system permease protein
K10108		ko02010;ko02030	ko02000	malE; maltose/maltodextrin transport system substrate-binding protein
K10107		ko02010	ko02000	kpsE; capsular polysaccharide transport system permease protein
K10106	4.1.1.90	ko00130		GGCX; vitamin K-dependent gamma-carboxylase
K10105		ko00785		LIPT1; lipoyltransferase 1
K10104			ko04091	FCN; ficolin
K10103			ko04121;ko04091	FBXO44; F-box protein 44
K10102			ko04121;ko04091	FBXO27; F-box protein 27
K10101			ko04121;ko04091	FBXO17, FBXO26; F-box protein 17
K10100		ko04141	ko04121;ko04091	FBXO6; F-box protein 6
K15557		ko02010	ko02000	ophG; phthalate transport system permease protein
K15556		ko02010	ko02000	ophF; phthalate transport system substrate-binding protein
K15555	7.6.2.14	ko02010;ko00920	ko02000	ssuB; sulfonate transport system ATP-binding protein
K15554		ko02010;ko00920	ko02000	ssuC; sulfonate transport system permease protein
K15553		ko02010;ko00920	ko02000	ssuA; sulfonate transport system substrate-binding protein
K15552		ko02010;ko00920	ko02000	tauC; taurine transport system permease protein
K15551		ko02010;ko00920	ko02000	tauA; taurine transport system substrate-binding protein
K15550			ko02000	mdtP; outer membrane protein, multidrug efflux system
K04674	2.7.11.30	ko05142;ko04060;ko04380;ko04068;ko04350;ko04144;ko04659;ko04933;ko05161;ko05212;ko04520;ko05210;ko04010;ko04390;ko05226;ko05225;ko05220;ko04218;ko05415;ko05166;ko04926;ko04371;ko05200	ko01001	TGFBR1, ALK5; TGF-beta receptor type-1
K18353		ko02020;ko01502	ko01504	vanJ; vancomycin resistance protein VanJ
K18350	2.7.13.3	ko02020;ko01502	ko02022;ko01001;ko01504	vanSC, vanSE, vanSG; two-component system, OmpR family, sensor histidine kinase VanS
K04677		ko04350		SMAD6; mothers against decapentaplegic homolog 6
K18356	1.2.1.58	ko00360		padI; phenylglyoxylate dehydrogenase beta subunit
K18357	1.2.1.58	ko00360		padE; phenylglyoxylate dehydrogenase gamma subunit
K18354		ko02020;ko01502	ko01504	vanK; vancomycin resistance protein VanK
K18355	1.2.1.58	ko00360		padG; phenylglyoxylate dehydrogenase alpha subunit
K15885	4.2.1.-	ko01056		mtmQ; C7-C12 aromatase (ARO/CYC)
K15884	4.2.1.-	ko01056	ko01008	snoaE, aknE1; bifunctional aromatase (cyclase/dehydratase)
K15887	2.5.1.92	ko00900		ZFPS; (2Z,6Z)-farnesyl diphosphate synthase
K15886	2.3.1.235	ko01057;ko01056	ko01008	tcmN; multifunctional cyclase / dehydratase / O-methyltransferase
K15889	3.1.1.-	ko00900		PCME; prenylcysteine alpha-carboxyl methylesterase
K15888	2.5.1.89	ko00900		uppS, cpdS; tritrans,polycis-undecaprenyl-diphosphate synthase [geranylgeranyl-diphosphate specific]
K13489		ko02025;ko02020		wspD; chemotaxis-related protein WspD
K13488		ko02025;ko02020		wspB; chemotaxis-related protein WspB
K13483		ko00230		yagT; xanthine dehydrogenase YagT iron-sulfur-binding subunit
K13482	1.17.1.4	ko00230		xdhB; xanthine dehydrogenase large subunit
K13481	1.17.1.4	ko00230		xdhA; xanthine dehydrogenase small subunit
K13480		ko00230		ygeU, xdhC; xanthine dehydrogenase iron-sulfur-binding subunit
K13487		ko02025;ko02020		wspA; methyl-accepting chemotaxis protein WspA
K13486		ko02020		wspC; chemotaxis protein methyltransferase WspC
K13485	4.1.1.97	ko00230		PRHOXNB, URAD; 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase
K13484	4.1.1.97;3.5.2.17	ko00230	ko02000	TTHL; 5-hydroxyisourate hydrolase / 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase
K14684			ko02000	SLC25A23S; solute carrier family 25 (mitochondrial phosphate transporter), member 23/24/25/41
K14685		ko04978;ko04216	ko02000	SLC40A1, FPN1; solute carrier family 40 (iron-regulated transporter), member 1
K02739	3.4.25.1	ko05010;ko05012;ko05020;ko05014;ko05017;ko05016;ko05022;ko03050	ko01002;ko03051	PSMB7; 20S proteasome subunit beta 2
K02738	3.4.25.1	ko05010;ko05012;ko05020;ko05014;ko05017;ko05016;ko05022;ko03050	ko01002;ko03051	PSMB6; 20S proteasome subunit beta 1
K05109	2.7.10.1	ko04360	ko01001	EPHA8, EEK; Eph receptor A8
K14681	2.3.1.1;4.3.2.1	ko00250;ko00220		argHA; argininosuccinate lyase / amino-acid N-acetyltransferase
K08359		ko02020;ko00920	ko02000	ttrC; tetrathionate reductase subunit C
K08358		ko02020;ko00920	ko02000	ttrB; tetrathionate reductase subunit B
K08357		ko02020;ko00920	ko02000	ttrA; tetrathionate reductase subunit A
K02732	3.4.25.1	ko05010;ko05012;ko05020;ko05014;ko05017;ko05016;ko05022;ko03050	ko01002;ko03051	PSMB1; 20S proteasome subunit beta 6
K02731	3.4.25.1	ko05010;ko05012;ko05020;ko05014;ko05017;ko05016;ko05022;ko03050	ko01002;ko03051;ko04131	PSMA7; 20S proteasome subunit alpha 4
K08354		ko00920	ko02000	phsC; thiosulfate reductase cytochrome b subunit
K08353		ko00920	ko02000	phsB; thiosulfate reductase electron transport protein
K08352	1.8.5.5	ko00920	ko02000	phsA, psrA; thiosulfate reductase / polysulfide reductase chain A
K08351	1.-.-.-	ko00780	ko02000	bisC; biotin/methionine sulfoxide reductase
K02734	3.4.25.1	ko05010;ko05012;ko05020;ko05014;ko05017;ko05016;ko05022;ko03050	ko01002;ko03051	PSMB2; 20S proteasome subunit beta 4
K03468			ko02000	aaeB; p-hydroxybenzoic acid efflux pump subunit AaeB
K03469	3.1.26.4	ko03030	ko03032	rnhA, RNASEH1; ribonuclease HI
K21628				MSA1; G1-specific transcription factors activator MSA1
K03460		ko04976	ko02000	SLCO1A; solute carrier organic anion transporter family, member 1A
K03462	2.4.2.12	ko04621;ko00760		NAMPT; nicotinamide phosphoribosyltransferase
K03463	5.5.1.30			E5.5.1.30; labda-7,13-dienyl diphosphate synthase
K03464	5.3.3.4	ko00362		catC; muconolactone D-isomerase
K03465	2.1.1.148	ko00240;ko00670		thyX, thy1; thymidylate synthase (FAD)
K03466			ko03036	ftsK, spoIIIE; DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family
K16589			ko03036	HAUS6, AUG6; HAUS augmin-like complex subunit 6
K21627				IFH1; protein IFH1
K09758	4.1.1.12	ko00250;ko00270		asdA; aspartate 4-decarboxylase
K09759	6.1.1.23	ko00970	ko03016;ko01007	aspC, aspS; nondiscriminating aspartyl-tRNA synthetase
K06118	3.13.1.1	ko00520;ko00561		SQD1, sqdB; UDP-sulfoquinovose synthase
K09754	1.14.14.96	ko00940;ko00941;ko00945	ko00199	CYP98A, C3'H; 5-O-(4-coumaroyl)-D-quinate 3'-monooxygenase
K09755	1.14.-.-	ko00940	ko00199	CYP84A, F5H; ferulate-5-hydroxylase
K09756	3.4.16.-;2.3.1.91	ko00940	ko01002	SCPL19, SNG2; serine carboxypeptidase-like 19
