target_id	1-T2A_S26_L005001.fastq_length	1-T2A_S26_L005001.fastq_eff_length	1-T2A_S26_L005001.fastq_est_counts	1-T2A_S26_L005001.fastq_tpm	2-T2B_S37_L005001.fastq_length	2-T2B_S37_L005001.fastq_eff_length	2-T2B_S37_L005001.fastq_est_counts	2-T2B_S37_L005001.fastq_tpm	3-T2C2_S40_L005001.fastq_length	3-T2C2_S40_L005001.fastq_eff_length	3-T2C2_S40_L005001.fastq_est_counts	3-T2C2_S40_L005001.fastq_tpm	7-T4A_S44_L005001.fastq_length	7-T4A_S44_L005001.fastq_eff_length	7-T4A_S44_L005001.fastq_est_counts	7-T4A_S44_L005001.fastq_tpm	8-T4B_S45_L005001.fastq_length	8-T4B_S45_L005001.fastq_eff_length	8-T4B_S45_L005001.fastq_est_counts	8-T4B_S45_L005001.fastq_tpm	9-T4C_S46_L005001.fastq_length	9-T4C_S46_L005001.fastq_eff_length	9-T4C_S46_L005001.fastq_est_counts	9-T4C_S46_L005001.fastq_tpm	13-T6A_S30_L005001.fastq_length	13-T6A_S30_L005001.fastq_eff_length	13-T6A_S30_L005001.fastq_est_counts	13-T6A_S30_L005001.fastq_tpm	14-T6B2_S31_L005001.fastq_length	14-T6B2_S31_L005001.fastq_eff_length	14-T6B2_S31_L005001.fastq_est_counts	14-T6B2_S31_L005001.fastq_tpm	15-T6C_S32_L005001.fastq_length	15-T6C_S32_L005001.fastq_eff_length	15-T6C_S32_L005001.fastq_est_counts	15-T6C_S32_L005001.fastq_tpm
k141_11492_4059_4199_-	138	25.4709	0	0	138	24.4794	1	4.16403	138	26.2803	0	0	138	26.0337	1	2.60202	138	27.9342	0	0	138	31.8781	1	1.89186	138	26.8071	0	0	138	30.5227	0	0	138	31.0476	0	0
k141_11492_809_4027_-	3210	2938.42	32.0402	0.584741	3210	2841.04	86.5392	3.10492	3210	2767.84	39	2.24612	3210	3042	49.8792	1.11072	3210	2965.76	107.706	1.99854	3210	2996	57.0723	1.14886	3210	3002.74	72	2.25734	3210	3059.22	41	1.11857	3210	3131.5	31	1.01105
k141_1149_1118_1291_-	171	41.3746	0	0	171	41.2341	0	0	171	44.1109	0	0	171	44.1827	0	0	171	45.6693	0	0	171	48.1308	0	0	171	42.4049	0	0	171	46.8029	1	1.78328	171	47.4731	0	0
k141_1149_1338_1478_+	138	25.4709	0	0	138	24.4794	0	0	138	26.2803	0	0	138	26.0337	0	0	138	27.9342	1	1.97002	138	31.8781	0	0	138	26.8071	2	7.02363	138	30.5227	1	2.73444	138	31.0476	0	0
k141_1149_1519_1926_+	405	203.45	2	0.527173	405	214.739	0	0	405	222.412	0	0	405	225.236	0	0	405	221.664	0	0	405	219.702	0	0	405	210.803	2	0.893171	405	196.327	4	1.70048	405	197.084	4	2.07286
k141_1149_1_1103_-	1098	881.207	0	0	1098	891.962	0	0	1098	903.655	0	0	1098	892.852	2	0.151739	1098	900.463	0	0	1098	808.229	7.95371	0.593497	1098	831.575	3.00343	0.340015	1098	863.459	3	0.289982	1098	912.807	0	0
k141_1149_2148_2681_-	531	220.149	4	0.974373	531	218.713	2	0.932118	531	220.134	9	6.51727	531	244.887	16	4.42588	531	239.541	30	6.89207	531	241.114	22	5.5028	531	245.62	37	14.1814	531	251.259	33	10.9618	531	256.14	23	9.17093
k141_1149_2717_3168_+	447	240.151	0	0	447	252.41	0	0	447	260.275	0	0	447	263.768	0	0	447	259.268	0	0	447	257.28	0	0	447	248.082	0	0	447	264.168	0	0	447	266.897	0	0
k141_1149_3400_3736_-	327	140.994	0	0	327	149.514	0	0	327	155.212	0	0	327	158.536	0	0	327	156.665	0	0	327	154.335	2	0.781536	327	145.9	1	0.645245	327	157.837	0	0	327	159.488	1	0.640374
k141_1149_3753_6006_-	2247	3273.36	2	0.0327655	2247	3132.55	1	0.03254	2247	3046.37	2	0.104654	2247	2057.1	0	0	2247	3283.84	3	0.0502746	2247	3279.94	3	0.0551617	2247	3202.51	36.7972	1.0817	2247	3280.65	13	0.330731	2247	3399.42	22.6653	0.680955
k141_11501_1_590_-	588	421.875	17	2.16096	588	415.117	33.8986	8.3239	588	399.397	37.9605	15.1509	588	409.891	41.7774	6.90429	588	402.082	85.6687	11.7251	588	412.711	37.8596	5.53239	588	405.242	33.1914	7.71068	588	415.905	72.777	14.6046	588	427.245	56.7844	13.5742
k141_11501_717_1015_-	291	115.204	0	0	291	121.886	0	0	291	126.501	0	0	291	129.312	0	0	291	128.688	0	0	291	126.486	0	0	291	118.959	0	0	291	128.85	0	0	291	130.417	0	0
k141_11527_7_1200_-	1191	710.641	1403.67	105.924	1191	666.035	1882.74	288.143	1191	655.885	1003.42	243.874	1191	760.739	1515.9	134.983	1191	732.431	3037.86	228.25	1191	740.194	2314.38	188.57	1191	794.603	1337.56	158.469	1191	817.949	794.42	81.0615	1191	808.698	757.82	95.7067
k141_11539_1371_1475_+	102	14.6996	0	0	102	12.176	0	0	102	14.6584	0	0	102	15.0049	0	0	102	17.1152	0	0	102	20.5953	0	0	102	18.3938	0	0	102	20.8717	0	0	102	20.991	0	0
k141_11539_1_347_-	345	154.397	0	0	345	164.079	0	0	345	170.248	0	0	345	178.384	3	1.13923	345	171.224	1	0.321398	345	168.689	1	0.357517	345	160.413	2	1.17374	345	172.828	0	0	345	174.758	0	0
k141_11539_450_1334_+	882	665.207	0	0	882	676.058	0	0	882	687.691	0	0	882	692.175	0	0	882	684.517	0	0	882	705.623	1	0.0854694	882	672.257	0	0	882	692.87	0	0	882	729.868	1	0.139932
k141_11554_1740_3349_-	1602	1974.78	44.9471	1.22058	1602	1879.34	84.8908	4.60438	1602	1798.34	126.982	11.2559	1602	1943.74	157.939	5.50422	1602	1906.14	576	16.6293	1602	1924.95	441.957	13.8466	1602	1854.07	416.898	21.1682	1602	1868.24	127.929	5.71513	1602	1933.37	183	9.66718
k141_11554_1_238_-	237	79.3975	9	6.0788	237	83.5538	18	21.9595	237	86.9215	9	16.5054	237	88.4461	104	79.6527	237	88.9129	342	211.675	237	88.1039	409	279.97	237	81.3675	162	187.433	237	160.127	86	44.8255	237	151.298	65	43.8775
k141_11554_297_392_+	93	13.6086	0	0	93	10.8896	1	9.3606	93	13.206	0	0	93	13.5408	1	5.00268	93	16.1049	9	30.7534	93	17.9612	4	13.431	93	16.7886	4	22.4299	93	18.3885	3	13.6165	93	18.2549	2	11.1896
k141_11554_3358_4755_+	1395	1237.47	111	4.81027	1395	1199.55	185.885	15.7958	1395	1199.35	165.922	22.0531	1395	1433.2	176.583	8.3462	1395	1392.1	388.248	15.3478	1395	1411.69	218.84	9.34915	1395	1418.62	481.529	31.9549	1395	1511.38	262	14.4684	1395	1570.02	223.005	14.5068
k141_11554_412_1737_-	1323	1304.49	117	4.8098	1323	1255.4	137	11.1239	1323	1216.14	143	18.744	1323	1361.45	367	18.2603	1323	1307.7	816.965	34.3799	1323	1323.18	593	27.0282	1323	1315.32	691	49.4572	1323	1373.58	336	20.4164	1323	1397.31	323	23.6087
k141_11554_5035_5697_-	660	513.502	5.1549	0.538344	660	500.161	4	0.815203	660	515.752	5	1.54539	660	658.497	9.08321	0.934397	660	612.527	7.04653	0.63308	660	622.902	12.1073	1.17223	660	601.33	5.1568	0.807325	660	673.974	4.1334	0.511866	660	730.565	1.01807	0.142325
k141_11559_1093_2061_+	966	795.46	1	0.0674161	966	770.266	1	0.132335	966	738.281	1	0.215918	966	791.946	1	0.0855363	966	768.463	0	0	966	785.994	1	0.0767298	966	756.212	0	0	966	763.311	8.7952	0.961691	966	789.342	2	0.258778
k141_11559_1_1046_+	1041	824.207	0	0	1041	924.089	1.09907	0.121234	1041	890.94	2.20103	0.39381	1041	851.103	0	0	1041	927.112	1.10717	0.0657189	1041	842.391	0	0	1041	831.212	0	0	1041	942.382	2.10815	0.186709	1041	972.706	1	0.104998
k141_11559_2744_2818_+	72	9.29333	0	0	72	8.93846	1	11.4039	72	10.0098	2	31.8504	72	7.43262	2	18.2278	72	9.54373	2	11.5324	72	8.62115	1	6.99549	72	7.58228	2	24.832	72	7.53774	1	11.0726	72	8.27634	0	0
k141_11559_2954_3931_-	975	837.93	26	1.66398	975	822.838	17	2.10596	975	820.054	18	3.49897	975	929.372	41	2.98841	975	882.276	45	2.80683	975	880.214	41	2.80917	975	850.745	29	3.20908	975	875.695	32	3.04992	975	915.728	21	2.34215
k141_11559_4243_4460_+	213	64.868	0	0	213	67.4396	0	0	213	70.3017	0	0	213	71.9345	0	0	213	72.5288	0	0	213	72.5712	0	0	213	66.3298	0	0	213	72.8994	0	0	213	73.5936	0	0
k141_11559_4543_4751_+	207	61.2797	0	0	207	63.3771	0	0	207	66.3567	2	4.80458	207	67.8516	0	0	207	68.5565	0	0	207	68.9866	0	0	207	62.6822	0	0	207	68.9592	0	0	207	69.5972	0	0
k141_11566_1_811_+	807	593.239	2	0.180793	807	574.705	8.54897	1.5163	807	572.677	12	3.34027	807	630.117	18	1.93507	807	602.282	27	2.46702	807	611.075	15	1.4804	807	580.902	5	0.810306	807	603.858	5	0.691078	807	633.876	2	0.322247
k141_11566_2898_3809_+	909	778.105	18	1.24055	909	739.407	26	3.58431	909	742.189	23	4.93996	909	861.485	52	4.08885	909	852.283	89	5.74665	909	874.063	68.9578	4.75799	909	862.587	237.992	25.9741	909	925.412	243.854	21.9931	909	959.939	195.366	20.7858
k141_11566_3815_4033_-	216	66.6107	0	0	216	69.3637	1	1.46955	216	72.3203	1	2.2042	216	73.9793	3	2.74699	216	74.5773	2	1.47582	216	74.4921	2	1.61921	216	68.1842	8	11.0456	216	74.8995	6	6.68596	216	75.6213	8	10.8046
k141_11566_4125_4316_+	189	51.2206	0	0	189	52.1592	2	3.90854	189	55.043	0	0	189	55.7095	0	0	189	57.0051	0	0	189	58.3061	0	0	189	52.1247	1	1.80608	189	57.5631	1	1.44993	189	58.5849	0	0
k141_11566_4354_4480_+	126	20.9037	0	0	126	19.3232	0	0	126	21.5849	0	0	126	22.1751	1	3.05478	126	24.1177	4	9.12711	126	28.6993	0	0	126	24.5313	1	3.83761	126	28.5325	3	8.77552	126	28.6369	0	0
k141_11566_881_2673_+	1785	1711.58	4	0.125327	1785	1636.99	23	1.43218	1785	1609.16	34	3.36814	1785	1795.52	17	0.641363	1785	1760.48	38	1.18785	1785	1798.19	33	1.10678	1785	1797.92	32	1.67557	1785	1812.15	22	1.01326	1785	1879.4	17	0.923831
k141_1157_1365_1871_-	504	271.681	139	27.437	504	270.788	327	123.093	504	281.131	342	193.922	504	318.2	531	113.042	504	304.98	206	37.171	504	300.924	236	47.2976	504	291.561	120	38.7466	504	299.361	234	65.2396	504	324.943	161	50.6035
k141_1157_1_155_-	153	32.0554	0	0	153	31.3089	1	3.25572	153	33.7267	0	0	153	33.0752	0	0	153	34.9737	0	0	153	38.2205	0	0	153	32.8516	0	0	153	36.6647	0	0	153	37.1727	0	0
k141_1157_2093_3386_-	1284	1553.03	10	0.345305	1284	1487.54	3	0.205575	1284	1548.65	6	0.617602	1284	1696.52	23	0.918363	1284	1689.27	6	0.195461	1284	1728.85	7	0.244188	1284	1709.41	13	0.715943	1284	1862.21	14	0.627466	1284	1971.6	18	0.932428
k141_1157_3515_3915_-	393	193.373	0	0	393	204.397	0	0	393	211.77	0	0	393	214.568	0	0	393	211.117	0	0	393	209.173	0	0	393	200.473	0	0	393	214.612	0	0	393	216.847	0	0
k141_1157_383_1276_-	891	1263.84	7	0.297022	891	1212.73	18	1.51295	891	1251.38	13	1.65601	891	1402.69	11	0.531222	891	1389.9	5	0.197968	891	1411.89	13	0.555298	891	1384.89	5	0.339889	891	1495.11	8	0.446588	891	1595.42	3	0.192048
k141_11610_1174_2208_-	1032	1309.83	16	0.655067	1032	1287.96	23	1.8203	1032	1241.98	55	7.05923	1032	1295.44	5	0.261455	1032	1288.57	26	1.11039	1032	1309.43	7	0.322403	1032	1246.03	7	0.528873	1032	1244.82	3	0.201143	1032	1305.54	5	0.391148
k141_11610_1_1002_-	996	722.487	2	0.148451	996	688.997	4	0.591777	996	689.365	5	1.15619	996	809.298	2	0.167404	996	761.597	18	1.30064	996	756.958	9	0.717057	996	719.416	3	0.392575	996	747.007	4	0.446917	996	755.913	9	1.216
k141_11610_2238_9775_-	7524	8634.1	18	0.111799	7524	8277.28	48	0.591111	7524	7932.77	48	0.964554	7524	8793.64	16	0.123253	7524	8624.19	39	0.24886	7524	8788.61	20	0.137244	7524	8614.35	16.9212	0.184922	7524	8725.18	20	0.191314	7524	9043.5	24	0.271042
k141_11617_1513_2543_-	1023	806.207	0	0	1023	816.962	0	0	1023	828.655	0	0	1023	833.103	0	0	1023	685.792	2	0.160489	1023	824.391	0	0	1023	813.212	0	0	1023	833.756	0	0	1023	837.807	0	0
k141_11617_1_134_+	129	22.0135	0	0	129	20.5805	0	0	129	22.5912	0	0	129	23.0741	0	0	129	24.839	0	0	129	29.1673	0	0	129	24.8428	0	0	129	28.8369	0	0	129	28.9526	0	0
k141_11617_223_802_+	576	361.424	0	0	576	295.638	2	0.689582	576	295.026	2	1.08064	576	326.31	5	1.03797	576	311.175	4	0.707397	576	312.518	2	0.385956	576	299.969	2	0.627676	576	317.495	6	1.57727	576	334.184	4	1.22247
k141_11617_865_1047_+	180	46.3047	0	0	180	46.6181	2	4.37312	180	49.4672	1	3.2225	180	49.9462	0	0	180	51.3688	4	4.28518	180	53.1781	2	2.2682	180	47.3157	1	1.98965	180	52.0772	3	4.80801	180	53.0448	0	0
k141_11626_1561_1869_+	306	125.65	76	32.4363	306	133.107	74	56.669	306	138.231	92	106.094	306	141.232	162	77.701	306	140.112	217	85.2303	306	137.749	100	43.782	306	129.94	72	52.1641	306	140.647	88	52.2209	306	142.192	97	69.6723
k141_11626_1985_2094_-	105	15.0814	144	512.039	105	12.9402	179.5	1413.97	105	15.3541	209	2169.86	105	15.9218	429.5	1827.33	105	17.6732	852	2652.98	105	21.5046	770	2159.45	105	19.2718	618	3018.89	105	21.8682	353	1347.26	105	21.8644	297.5	1389.67
k141_11626_1_591_-	591	438.789	2.08236	0.254497	591	439.116	4.07981	0.947059	591	421.843	1	0.377884	591	469.232	2.05477	0.296635	591	453.067	3	0.364391	591	455.647	1.0323	0.136635	591	442.338	4.07578	0.867437	591	402.99	0	0	591	406.727	0	0
k141_11626_629_1537_+	906	985.653	52	2.82918	906	962.871	63	6.66942	906	923.531	102	17.6059	906	1033.68	62	4.06303	906	1032.79	90	4.79556	906	1055.48	57	3.25691	906	1019.34	74.1572	6.84884	906	1042.74	72	5.76301	906	1099.12	69	6.4116
k141_11632_1_461_-	459	250.855	0	0	459	263.037	0	0	459	271.393	0	0	459	274.787	0	0	459	270.258	0	0	459	268.229	0	0	459	258.958	0	0	459	275.399	0	0	459	294.29	1	0.347046
k141_11632_528_1714_-	1179	962.207	0	0	1179	954.515	1.00283	0.107093	1179	984.655	0	0	1179	989.103	0	0	1179	981.463	0	0	1179	1031.56	3.0168	0.176375	1179	969.212	0	0	1179	1075.53	1.01795	0.078994	1179	993.807	0	0
k141_11639_1043_2633_-	1581	1356.1	4	0.15818	1581	1300.85	4	0.313436	1581	1279.09	5	0.623129	1581	1439.2	57	2.68286	1581	1412.1	103	4.01402	1581	1435.31	89	3.73963	1581	1437.71	542	35.4903	1581	1488.6	495	27.7536	1581	1553.22	429	28.2089
k141_11639_1_340_-	333	145.45	1	0.368696	333	154.413	0	0	333	160.165	2	1.99055	333	163.533	18	7.45614	333	161.526	18	6.13251	333	159.121	19.9197	7.54982	333	150.693	72	44.98	333	162.793	41	21.0203	333	164.495	56	34.7694
k141_11639_2773_4007_-	1227	943.191	4	0.227427	1227	912.148	6	0.670504	1227	911.798	6	1.04897	1227	1002.31	8	0.540673	1227	972.269	20	1.13201	1227	976.721	15.7757	0.974097	1227	1005.45	109	10.2058	1227	1034.58	58	4.67901	1227	1042.1	57	5.58637
k141_11639_344_839_+	489	278.368	0	0	489	290.425	0	0	489	299.402	0	0	489	303.318	0	0	489	513.04	1	0.107265	489	502.646	1	0.119983	489	479.219	4	0.785793	489	544.242	2	0.306711	489	544.836	2	0.37491
k141_11639_4364_5098_-	732	638.671	4241.99	356.184	732	620.793	6530	1072.21	732	600.409	7764.98	2061.59	732	659.667	4049	415.785	732	631.113	8079.99	704.55	732	637.985	5027	475.205	732	623.694	3619.99	546.409	732	654.125	1660.99	211.933	732	673.72	1780.98	269.987
k141_11639_5157_5492_+	330	143.202	422	158.032	330	151.935	871	584.353	330	157.73	999	1009.63	330	161.082	351	147.607	330	159.086	865	299.222	330	156.701	619	238.232	330	148.301	337	213.928	330	160.301	213	110.901	330	162.021	179	112.835
k141_11639_5531_5987_-	453	237.348	1	0.225941	453	233.921	15	6.53639	453	240.401	14	9.28329	453	271.575	16.701	4.16582	453	264.414	24	4.99501	453	261.605	14.9036	3.4358	453	272.236	40	13.8324	453	283.129	27.8019	8.19562	453	294.254	24	8.33013
k141_11639_891_992_+	99	14.2611	0	0	99	11.6876	0	0	99	14.29	0	0	99	14.3386	2	9.4486	99	16.7341	0	0	99	19.7056	0	0	99	17.5896	2	10.7042	99	19.9847	3	12.529	99	20.1685	4	20.2557
k141_11642_1_1286_-	1284	1187.7	87.2943	3.94149	1284	1130.94	211.056	19.0229	1284	1106.68	282.895	40.7488	1284	1186.8	8.54142	0.487526	1284	1162.18	15.4823	0.733114	1284	1180.2	12.1159	0.61913	1284	1169.99	8.33905	0.67099	1284	1172.92	1.01377	0.0721377	1284	1208.21	3.20076	0.270565
k141_11649_1_1865_+	1857	2082.3	2	0.0515073	1857	2092.58	7	0.340982	1857	2050.28	3.01053	0.234067	1857	2280.69	4	0.118806	1857	2255.24	2	0.048803	1857	2329.91	3	0.0776543	1857	2300.14	3	0.122786	1857	2409.41	2	0.0692803	1857	2548.51	1	0.0400752
k141_11652_1165_2342_+	1173	956.207	0	0	1173	966.962	0	0	1173	978.655	0	0	1173	983.103	0	0	1173	1119.18	1	0.0491711	1173	1138.31	6	0.317887	1173	1116.05	1	0.0843522	1173	1217.8	3	0.205606	1173	1263.08	4	0.323438
k141_11652_1_525_+	522	384.084	12.6783	1.77018	522	373.219	17.1813	4.69254	522	375.74	11.4545	4.85959	522	428.208	12.6756	2.00521	522	418.288	29.2975	3.85446	522	402.212	22.6788	3.40054	522	377.484	35.5551	8.86717	522	407.505	67.0388	13.7304	522	427.989	58.0239	13.8464
k141_11652_2388_2813_-	423	286.559	1	0.18714	423	230.693	0	0	423	238.418	0	0	423	241.652	0	0	423	308.889	2	0.356316	423	296.661	1	0.203293	423	226.541	0	0	423	314.23	1	0.26561	423	319.924	5	1.59619
k141_11652_3006_4162_+	1155	821.573	2	0.130547	1155	828.392	3	0.369148	1155	960.655	0	0	1155	929.416	4	0.291538	1155	895.205	11	0.676206	1155	887.168	7	0.475856	1155	858.929	7	0.767224	1155	855.444	25	2.43916	1155	901.275	25	2.83299
k141_11652_587_1047_-	450	242.819	62	13.6928	450	255.052	45	17.9845	450	263.168	67	40.5837	450	266.472	29	7.37213	450	262.001	50	10.5021	450	260.028	79	18.3227	450	250.85	95	35.6526	450	266.992	128	40.0132	450	269.725	163	61.7204
k141_11655_100139_100249_+	108	15.5818	0	0	108	13.6341	0	0	108	15.8431	0	0	108	16.6273	0	0	108	18.5708	0	0	108	22.5648	0	0	108	19.937	0	0	108	22.7798	0	0	108	22.8924	0	0
k141_11655_100486_104202_+	3708	3491.21	0	0	3708	3501.96	0	0	3708	3513.65	0	0	3708	3518.1	0	0	3708	3510.46	0	0	3708	3509.39	0	0	3708	3498.21	0	0	3708	3518.76	0	0	3708	3522.81	0	0
k141_11655_104205_105182_+	975	758.207	0	0	975	768.962	0	0	975	780.655	0	0	975	785.103	0	0	975	777.463	0	0	975	776.391	0	0	975	765.212	0	0	975	785.815	0	0	975	789.807	0	0
k141_11655_10466_10791_-	315	132.131	0	0	315	140.121	0	0	315	145.438	0	0	315	148.511	0	0	315	147.17	0	0	315	144.906	0	0	315	136.74	0	0	315	147.852	0	0	315	149.559	0	0
k141_11655_105291_105456_+	162	36.5861	0	0	162	36.0426	0	0	162	38.7292	0	0	162	38.5801	0	0	162	40.1852	0	0	162	43.1323	0	0	162	37.4055	0	0	162	41.4944	0	0	162	42.1744	0	0
k141_11655_105478_107513_+	2031	1814.21	0	0	2031	1824.96	0	0	2031	1836.65	0	0	2031	1841.1	0	0	2031	1833.46	0	0	2031	1832.39	0	0	2031	1821.21	0	0	2031	1841.76	0	0	2031	1845.81	0	0
k141_11655_107541_107678_+	135	24.2937	0	0	135	23.1361	0	0	135	24.9426	0	0	135	25.1	0	0	135	26.9525	0	0	135	31.1253	0	0	135	26.1636	0	0	135	29.9595	0	0	135	30.4464	0	0
k141_11655_107694_108023_+	327	140.994	0	0	327	149.514	0	0	327	155.212	0	0	327	158.536	0	0	327	156.665	0	0	327	154.335	0	0	327	145.9	0	0	327	157.837	0	0	327	159.488	0	0
k141_11655_108052_111010_+	2952	2735.21	0	0	2952	2745.96	0	0	2952	2757.65	0	0	2952	2762.1	0	0	2952	2754.46	0	0	2952	2753.39	0	0	2952	2742.21	0	0	2952	2762.76	0	0	2952	2766.81	0	0
k141_11655_111039_112187_+	1146	929.207	0	0	1146	939.962	0	0	1146	951.655	0	0	1146	956.103	0	0	1146	948.463	0	0	1146	947.391	0	0	1146	936.212	0	0	1146	956.756	0	0	1146	960.807	0	0
k141_11655_11158_11451_-	291	115.204	0	0	291	121.886	0	0	291	126.501	0	0	291	129.312	0	0	291	128.688	0	0	291	126.486	0	0	291	118.959	0	0	291	128.85	0	0	291	130.417	0	0
k141_11655_112292_113871_+	1575	1358.21	0	0	1575	1368.96	0	0	1575	1380.65	0	0	1575	1385.1	0	0	1575	1377.46	0	0	1575	1376.39	0	0	1575	1365.21	0	0	1575	1385.76	0	0	1575	1389.81	0	0
k141_11655_113934_115068_+	1131	914.207	0	0	1131	924.962	0	0	1131	936.655	0	0	1131	941.103	0	0	1131	933.463	0	0	1131	932.391	0	0	1131	921.212	0	0	1131	941.756	0	0	1131	945.807	0	0
k141_11655_115141_116262_+	1119	902.207	0	0	1119	912.962	0	0	1119	924.655	0	0	1119	929.103	0	0	1119	921.463	0	0	1119	920.391	0	0	1119	909.212	0	0	1119	929.756	0	0	1119	933.807	0	0
k141_11655_11579_11699_+	117	18.0088	0	0	117	16.4396	0	0	117	18.3838	0	0	117	19.0927	0	0	117	20.9972	0	0	117	25.7345	0	0	117	22.2978	0	0	117	25.829	0	0	117	25.9385	0	0
k141_11655_116375_117865_-	1488	1271.21	0	0	1488	1281.96	0	0	1488	1293.65	0	0	1488	1298.1	0	0	1488	1290.46	0	0	1488	1289.39	0	0	1488	1278.21	0	0	1488	1298.76	0	0	1488	1302.81	0	0
k141_11655_117931_118113_-	180	46.3047	0	0	180	46.6181	0	0	180	49.4672	0	0	180	49.9462	0	0	180	51.3688	0	0	180	53.1781	0	0	180	47.3157	0	0	180	52.0772	0	0	180	53.0448	0	0
k141_11655_118130_122398_+	4260	4043.21	0	0	4260	4053.96	0	0	4260	4065.65	0	0	4260	4070.1	0	0	4260	4062.46	0	0	4260	4061.39	0	0	4260	4050.21	0	0	4260	4070.76	0	0	4260	4074.81	0	0
k141_11655_122506_122664_+	156	33.5494	0	0	156	33.0149	0	0	156	35.3793	0	0	156	34.947	0	0	156	36.6706	0	0	156	39.8843	0	0	156	34.351	0	0	156	38.1447	0	0	156	38.7505	0	0
k141_11655_123028_126226_+	3192	2975.21	0	0	3192	2985.96	0	0	3192	2997.65	0	0	3192	3002.1	0	0	3192	2994.46	0	0	3192	2993.39	0	0	3192	2982.21	0	0	3192	3002.76	0	0	3192	3006.81	0	0
k141_11655_12478_13068_-	588	373.153	0	0	588	384.601	0	0	588	395.256	0	0	588	399.712	0	0	588	392.687	0	0	588	391.224	0	0	588	380.746	0	0	588	400.081	0	0	588	403.754	0	0
k141_11655_126228_127223_+	993	776.207	0	0	993	786.962	0	0	993	798.655	0	0	993	803.103	0	0	993	795.463	0	0	993	794.391	0	0	993	783.212	0	0	993	803.756	0	0	993	807.807	0	0
k141_11655_127228_128082_+	852	635.229	0	0	852	646.058	0	0	852	657.724	0	0	852	662.175	0	0	852	654.517	0	0	852	653.461	0	0	852	642.279	0	0	852	662.887	0	0	852	666.807	0	0
k141_11655_128091_128965_+	870	653.207	0	0	870	664.058	0	0	870	675.691	0	0	870	680.175	0	0	870	672.517	0	0	870	671.461	0	0	870	660.257	0	0	870	680.87	0	0	870	684.807	0	0
k141_11655_129038_132275_+	3231	3014.21	0	0	3231	3024.96	0	0	3231	3036.65	0	0	3231	3041.1	0	0	3231	3033.46	0	0	3231	3032.39	0	0	3231	3021.21	0	0	3231	3041.76	0	0	3231	3045.81	0	0
k141_11655_13105_14880_-	1764	1547.21	0	0	1764	1557.96	0	0	1764	1569.65	0	0	1764	1574.1	0	0	1764	1566.46	0	0	1764	1565.39	0	0	1764	1554.21	0	0	1764	1574.76	0	0	1764	1578.81	0	0
k141_11655_132354_133460_+	1104	887.207	0	0	1104	897.962	0	0	1104	909.655	0	0	1104	914.103	0	0	1104	906.463	0	0	1104	905.391	0	0	1104	894.212	0	0	1104	914.756	0	0	1104	918.807	0	0
k141_11655_133660_133950_+	288	113.124	0	0	288	119.585	0	0	288	124.179	0	0	288	127.006	0	0	288	126.348	0	0	288	124.27	0	0	288	116.652	0	0	288	126.648	0	0	288	128.057	0	0
k141_11655_133997_135616_+	1617	1400.21	0	0	1617	1410.96	0	0	1617	1422.65	0	0	1617	1427.1	0	0	1617	1419.46	0	0	1617	1418.39	0	0	1617	1407.21	0	0	1617	1427.76	0	0	1617	1431.81	0	0
k141_11655_135739_138437_+	2691	2474.21	0	0	2691	2484.96	0	0	2691	2496.65	0	0	2691	2501.1	0	0	2691	2493.46	0	0	2691	2492.39	0	0	2691	2481.21	0	0	2691	2501.76	0	0	2691	2505.81	0	0
k141_11655_138443_140208_+	1761	1544.21	0	0	1761	1554.96	0	0	1761	1566.65	0	0	1761	1571.1	0	0	1761	1563.46	0	0	1761	1562.39	0	0	1761	1551.21	0	0	1761	1571.76	0	0	1761	1575.81	0	0
k141_11655_140388_142349_+	1959	1742.21	0	0	1959	1752.96	0	0	1959	1764.65	0	0	1959	1769.1	0	0	1959	1761.46	0	0	1959	1760.39	0	0	1959	1749.21	0	0	1959	1769.76	0	0	1959	1773.81	0	0
k141_11655_142439_146640_+	4191	3974.21	0	0	4191	3984.96	0	0	4191	3996.65	0	0	4191	4001.1	0	0	4191	3993.46	0	0	4191	3992.39	0	0	4191	3981.21	0	0	4191	4001.76	0	0	4191	4005.81	0	0
k141_11655_146761_147033_+	270	101.092	0	0	270	106.487	0	0	270	110.78	0	0	270	113.271	0	0	270	112.877	0	0	270	110.685	0	0	270	103.972	0	0	270	113.061	0	0	270	114.253	0	0
k141_11655_147055_148982_+	1923	1706.21	0	0	1923	1716.96	0	0	1923	1728.65	0	0	1923	1733.1	0	0	1923	1725.46	0	0	1923	1724.39	0	0	1923	1713.21	0	0	1923	1733.76	0	0	1923	1737.81	0	0
k141_11655_149083_149367_+	282	109.151	0	0	282	115.089	0	0	282	119.764	0	0	282	122.383	0	0	282	121.852	0	0	282	119.761	0	0	282	112.437	0	0	282	122.147	0	0	282	123.354	0	0
k141_11655_14921_15421_+	498	286.862	0	0	498	298.716	0	0	498	308.142	0	0	498	311.978	0	0	498	306.352	0	0	498	304.682	0	0	498	294.803	0	0	498	312.379	0	0	498	315.595	0	0
k141_11655_149413_151715_+	2298	2081.21	0	0	2298	2091.96	0	0	2298	2103.65	0	0	2298	2108.1	0	0	2298	2100.46	0	0	2298	2099.39	0	0	2298	2088.21	0	0	2298	2108.76	0	0	2298	2112.81	0	0
